1,clientid,distance,error
5,3,162.1411096579629,"[0.6621926107146985, 0.5951695385832323, 0.5628029142128197, 0.542629709731641, 0.5286845966063309, 0.5033422181358373, 0.5443724847386497, 0.6149863797996404, 0.49789353477357834, 0.5099424738345432, 0.4728341634541864, 0.4870289620561078, 0.5176901913311039, 0.5601968775970014, 0.5241704060600493, 0.5190388658577088, 0.5293157139582576, 0.5443654816397404, 0.529297235699403, 0.6096394167052416, 0.45838776728144426, 0.5075303917589565, 0.6180828327478791, 0.6025397327937507, 0.5080803928708182, 0.5326250681781218, 0.5294229166437852, 0.5023334730631575, 0.5216198754404096, 0.5873114928813127, 0.5600671870440781, 0.5593731908707709, 0.5509331483352221, 0.5770813275886574, 0.5510938313421611, 0.503466301167579, 0.518933110795056, 0.5051290576265389, 0.5490401142445092, 0.5194691457758596, 0.45896136421931644, 0.5671309596643118, 0.566138614200266, 0.5575697918176726, 0.524645842433354, 0.625239676455868, 0.6064262748714339, 0.562688655305695, 0.5818254713180163, 0.5225210957725809, 0.620830898782491, 0.5601537539734247, 0.6032586511756766, 0.5072496402808531, 0.5587397156624879, 0.5933934291153657, 0.5319235074238465, 0.6015113197680673, 0.6601236184960646, 0.5576299939654853, 0.5693231953603981, 0.6220416067185337, 0.5020778856111088, 0.6078743559136333]"
6,4,161.16427629678088,"[0.8129884275853976, 0.7899315927866346, 0.6838308711307859, 0.7014866594860323, 0.7751121573628308, 0.7281241931103284, 0.5887165060427425, 0.6223719845886317, 0.718871038764808, 0.660102874782807, 0.676194908866798, 0.6898745671222415, 0.7372580095463239, 0.6955749048977212, 0.7390625825019328, 0.6206497109512499, 0.6715630239974779, 0.6136154231204566, 0.6575123036980105, 0.6770494651982482, 0.6340977951756703, 0.6838910812275641, 0.6974200147078765, 0.6448805834272862, 0.6624113359733643, 0.6273553740406913, 0.691794860906345, 0.7087077310130846, 0.682024203311122, 0.6296048681488103, 0.7839471658560629, 0.7270225251970636, 0.7321734149240928, 0.7276798930053485, 0.6574069404489739, 0.6940487066181903, 0.7702255437959706, 0.8454336292632023, 0.7940061376011935, 0.7529313288879058, 0.7703150027186004, 0.8448549655855543, 0.793129957211137, 0.7859239526174631, 0.73541297290331, 0.7055332545420535, 0.6772235142545671, 0.7298457222742918, 0.7672486827925443]"
7,5,160.84106337685063,"[0.6336490836925806, 0.580481597809121, 0.6398688641252617, 0.5537225102229665, 0.5597890790823536, 0.5775586564543969, 0.49546961151994773, 0.48693297726645446, 0.4918230254598893, 0.5886647082620766, 0.5885209999179157, 0.570078404523471, 0.5084630127860388, 0.5242451852041995, 0.5264543461459107, 0.5087475527371862, 0.5200306205896776, 0.5741374595114515, 0.4930430856577004, 0.5239121050931378, 0.5550277075500344, 0.6131324226531433, 0.5809991695841502, 0.5342738298714297, 0.5632586879155375, 0.6043665502673442, 0.6013207731295793, 0.5867781393938276, 0.5814374854404256, 0.6396458742608229, 0.6203533091219045, 0.6553922371911661, 0.6360298523198071, 0.617060919652237, 0.5583094061369775, 0.5809686475249085, 0.6061993238545559, 0.6167636020292654, 0.5736167593963667, 0.6574587571613968, 0.6019615972849836, 0.6388172073358146, 0.5740719994123415, 0.5514501319491016, 0.5693873908376615, 0.6089685624313764, 0.5700666204939747, 0.5664104352703847, 0.6091565180276091, 0.60238787837563, 0.5860691664742687, 0.5414698868476747, 0.6281285924106608, 0.5905369166178389, 0.5999951700623569, 0.6244702985607364, 0.6132941424539119]"
8,6,160.34662324972658,"[0.7526390691477948, 0.771913307522356, 0.8438868501181729, 0.81131875914905, 0.7981154048834707, 0.7887657486405031, 0.7497334187321855, 0.7367445957028407, 0.794929091871803, 0.7446190303894064, 0.6515098694006181, 0.6789410723547313, 0.7262237895937527, 0.7604205386236207, 0.8316014968213274, 0.8172466228087675, 0.9030437823787822, 0.7978836877100737, 0.8224079981728242, 0.812048519127696, 0.7197817433593234, 0.6994042197672593, 0.6375568115448895, 0.7735454803517985, 0.7082779724102558, 0.7897194908910905, 0.8028734979726484, 0.7238696073141646, 0.7280275673665119, 0.7941546523250691, 0.7607722392814897, 0.8035885645926585, 0.8684838067906969, 0.8818170232629842, 0.7981366123130004, 0.8053142352655666, 0.7890991944989679, 0.7687358211403291, 0.9327457830608761, 0.8788929605267612, 0.768882104171888, 0.96573612600312, 0.8966612322098869, 0.9111155684664564, 0.7934623800662619, 0.9705542478654823, 0.8539552813121738, 0.7614627048543616]"
9,7,162.5881040264423,"[0.6962904667460509, 0.7161733303553321, 0.6793413354451563, 0.7683221935606022, 0.7680299605803524, 0.7569747730743195, 0.640195917678453, 0.7122545290501335, 0.7501018873885347, 0.7536995230397577, 0.6644674664360227, 0.7710254915973224, 0.8180434626647154, 0.7238422099251731, 0.7606228945722127, 0.8170421583028009, 0.749368632174299, 0.744950095849449, 0.7802992031832041, 0.652840622738733, 0.6833591735655925, 0.7000582865583688, 0.7126341626749998, 0.7175744171368283, 0.6524409812891805, 0.6876797523413334, 0.685804011119411, 0.6885285401362835, 0.6516959057462995, 0.6804867650550862, 0.7086412025020012, 0.6621688858698598, 0.8085248780005336, 0.7223025706002631, 0.7900032346189283, 0.8014166036599466, 0.700093316770771, 0.7925330515875714, 0.7067652348015719, 0.8838088310777162, 0.9513930109280905, 0.9238575893920674, 0.8573384603670058, 0.7479718501013392, 0.7842495867127528, 0.8854240029948676]"
10,8,162.40921454486116,"[0.7673576947360654, 0.8136852154357385, 0.7355852543661685, 0.6556818071706876, 0.632582143370495, 0.5969346661438746, 0.6246838473311533, 0.6291082292700082, 0.6821365541627658, 0.6334983345832754, 0.6447401040223013, 0.6713941592102523, 0.6773884345274779, 0.5728229018939499, 0.5707708127260893, 0.6250053498954233, 0.5816377084019748, 0.5642223239427065, 0.5469157067361177, 0.7623153898848998, 0.6750271398307466, 0.728005259444537, 0.6607517871717121, 0.6661762332375256, 0.6049831639001766, 0.6201155321590268, 0.7342013703028115, 0.6447078317830257, 0.7408737191761273, 0.6594049843414735, 0.7725007151421637, 0.6981476086760485, 0.7116405071288605, 0.7270595075889604, 0.7133276473570834, 0.7016742028986108, 0.6998964333226826, 0.7192576402507206, 0.6442717757507407, 0.7239054793606325, 0.7801695977913958, 0.782725754493685, 0.7484523998170298, 0.8083213235169854, 0.7211576446939995, 0.8160149596255841]"
11,9,161.04115256323556,"[0.7881255950896053, 0.7493196741274493, 0.8730073494088697, 0.8473785945133665, 0.760621848676031, 0.673407242228607, 0.7245603043996677, 0.8220617325206501, 0.7467702316098267, 0.7281987563310939, 0.7073899936356296, 0.6695131630325089, 0.589406130252054, 0.5248612962014181, 0.6828351289547218, 0.6175472625054595, 0.615772676892124, 0.5605372196978222, 0.6276281031413282, 0.600108442934483, 0.7006471966878204, 0.7196958881030115, 0.7407342096334635, 0.6646276442399138, 0.7820492951224162, 0.6623199848756542, 0.5950763327760739, 0.8127058550856612, 0.7275759454241836, 0.7191262661709952, 0.6917996066022485, 0.5925187776597147, 0.6769535047895876, 0.762934506814936, 0.694367903348207, 0.6476820285795037, 0.5951532417820771, 0.8180783285304728, 0.7290258179920611, 0.6526412754248339, 0.7586842208200567, 0.6940060208470004, 0.6490731620565277, 0.5872888839740387, 0.728408995616635, 0.730897138645836]"
12,10,158.82725576233173,"[0.6880724393473616, 0.5195736216562201, 0.5772832290511754, 0.5259941494133219, 0.5053490783207609, 0.6267714530366786, 0.5477224978148283, 0.5095855736912325, 0.49074855424335295, 0.5316352525304092, 0.582285158398932, 0.5660810097599501, 0.4829622109195796, 0.49103741005514123, 0.49781422667332337, 0.4960325036824135, 0.5584559154543124, 0.5092063478196367, 0.5055778284061213, 0.5272609399053922, 0.5500794322206017, 0.5285333351936989, 0.5378388404398411, 0.4767289529059142, 0.49723036462064474, 0.5156822726933805, 0.513793797543868, 0.4719205782366942, 0.5963906032302589, 0.5993483369821206, 0.6067925943450369, 0.5816778494657778, 0.5988121311686007, 0.5106214595595978, 0.5779746003535591, 0.5595914136488732, 0.5189558632322998, 0.6115653159751993, 0.6631800025693495, 0.5688558533694851, 0.620106357885313, 0.5845950959835328, 0.5468634041255462, 0.5590576324145238, 0.5640841308755101, 0.5420756720394077, 0.5218084766990692, 0.551700296126451, 0.5166387967101829, 0.6312043465716621]"
13,11,162.73115435501117,"[0.6550058283148785, 0.6376970051886548, 0.5443384536552633, 0.4856290849013829, 0.46505208825920424, 0.5505109251602924, 0.5392591545577078, 0.5839738322856425, 0.46360683319771123, 0.5481241716293779, 0.5708246921306115, 0.46660758890014076, 0.6540820166965428, 0.6462317420371776, 0.6481985903784123, 0.5825781828817284, 0.5970196936239275, 0.5440345078742445, 0.6610660822281529, 0.6311066183607211, 0.5960725406584555, 0.575959354910056, 0.5643740524789493, 0.5529618106892965, 0.6569883106514731, 0.5756213458377996, 0.5695606186989008, 0.6260516504414508, 0.5638787031686845, 0.5176706287171331, 0.6472583072827666, 0.5846567628461024, 0.5475543890636757, 0.5826446212810641, 0.6096079458804843, 0.6572644764041493, 0.5838633509549647, 0.6149793268715222, 0.6224812539300534, 0.606514495976375, 0.5993602910141922, 0.6703799512763198, 0.7346205575570095, 0.6564594203574248, 0.599201320373038, 0.6120605538067087, 0.6818451300741815, 0.6993934897654802, 0.6281420548605431]"
14,12,160.74108812861704,"[0.7297575263974239, 0.6793178407967371, 0.6604296743530054, 0.5431265960763789, 0.5167576983093676, 0.5573823229723125, 0.643377511393068, 0.5267524065987248, 0.49625147288407445, 0.4838861737813238, 0.5702976953551618, 0.5710521242390942, 0.5320901641294173, 0.5836923258589967, 0.554689101545351, 0.5137163421472991, 0.4703240492344547, 0.6125335797444923, 0.5546974801848666, 0.5687064455145584, 0.525889410083065, 0.5937305395835542, 0.5570793406087495, 0.5392464925538685, 0.5715609141676716, 0.47977353867660305, 0.5720204706355028, 0.593343405446562, 0.6247157624237379, 0.6512480351602389, 0.5664642460229836, 0.5879624538953158, 0.6138467566460173, 0.7109430508099426, 0.581852563126042, 0.6769589433694, 0.5755560062408343, 0.6635029679404078, 0.6779452911788618, 0.6197376299829591, 0.5628058448484762, 0.6114491251630982, 0.5898697589798289, 0.49461757795602956, 0.619615076768264]"
15,13,160.314174262491,"[0.6396981813586675, 0.6564653292680398, 0.6083928724066314, 0.6797713101546987, 0.6104089528163019, 0.5850590398519213, 0.6331362560073025, 0.6318002699659422, 0.6063386654338012, 0.6073734003206731, 0.6477849441636194, 0.6952829879875748, 0.6944006568760189, 0.5886111928818699, 0.525120427675991, 0.5604554610040325, 0.6465644371035135, 0.6947555337753943, 0.6093994956821777, 0.5780104524177363, 0.6352768593324492, 0.538652524826491, 0.5694905760172659, 0.558026686616433, 0.5670093353479527, 0.564621899686913, 0.6271207558834909, 0.5931324218750064, 0.5542649583429353, 0.5842045099426729, 0.5628340490154413, 0.7169462834397314, 0.573835255831289, 0.6689354386721921, 0.6136915733671596, 0.6181148295378329, 0.678870682619735, 0.5528458107853882, 0.6065420943395927, 0.6176514770489377, 0.5746759201841762, 0.6356738512595304, 0.6612171732112129, 0.5952126925918632, 0.5909664290513381, 0.6135162987491577, 0.6694047779368204, 0.6701064972895492, 0.6410197169925922, 0.6819314153321708, 0.650758613886622, 0.6567536718120528, 0.5977020846378321, 0.6943717554748918, 0.6378465384304619, 0.6125040958203678, 0.8514247325448018, 0.7846311561652841]"
16,14,160.73682290952962,"[0.6611447851792811, 0.610437970392155, 0.6343173496028844, 0.5790486381973754, 0.5524999887908723, 0.5727351681314449, 0.5780578867799822, 0.5482832148641428, 0.5734641799168225, 0.5070242567783789, 0.5661245225309494, 0.5298468621723446, 0.5688981101534442, 0.532536994597333, 0.5341041202224289, 0.5265223269065156, 0.5422217629260404, 0.5600242688657437, 0.6504898855792101, 0.565591627098653, 0.5677726586705986, 0.537978116385325, 0.5781438824349555, 0.5828177359220175, 0.5583285126492054, 0.576700350764234, 0.650326131409982, 0.5264636877998924, 0.6142760819922892, 0.593384508738717, 0.563314200643985, 0.5503557710954796, 0.6250861405536569, 0.5876733146082872, 0.49360899162956173, 0.617587785984413, 0.5288193896406657, 0.6398958885656869, 0.6711952857297914, 0.6046500188118533, 0.600825009689675, 0.6213512803468229, 0.5791830496437532, 0.6903712570263529, 0.6571424619525572]"
17,15,165.20656015498045,"[0.7889622567162856, 0.7143206459814756, 0.6936220978966027, 0.6454174070809712, 0.5990190992461825, 0.6343394814601799, 0.557535442743289, 0.5816808862868316, 0.6575981082563385, 0.6221966602656198, 0.6432422292092448, 0.6362128227686978, 0.5881331571496979, 0.6743323612166202, 0.6394523588947835, 0.6879024097622614, 0.6257185876523474, 0.6232774891950168, 0.6387123672014806, 0.6106272221181732, 0.596995830514989, 0.6090054858590506, 0.6780590651135188, 0.7660726547549207, 0.6473271423554796, 0.750656692943477, 0.7810346223523026, 0.6768456357730164, 0.6581127234545305, 0.6210571110222899, 0.7646254280569238, 0.7471140562669433, 0.8834014144406642, 0.800059391554412, 0.6993788950087036, 0.7778190148622394, 0.7092884267737867, 0.6671577278221682, 0.8111684713460867, 0.7408049272729439, 0.7905724529597008, 0.8204180839271, 0.7803860212197274, 0.8205347691920191, 0.8676416193194665, 0.9124044715322822]"
18,16,162.86014113282573,"[0.7394416640469864, 0.6416374214368711, 0.6788415821670644, 0.6265192577786507, 0.6083340193293068, 0.5636508454611465, 0.5206986215482252, 0.5225035315725044, 0.5850248232701063, 0.5588585587873292, 0.5542446115702496, 0.5813831695283075, 0.5581412216559605, 0.5679816573071738, 0.6419782529382674, 0.5366084278534848, 0.5621002281402228, 0.6494593961598754, 0.6063746005467833, 0.6270735350950841, 0.5542725581118784, 0.5303538144432837, 0.6403228664612759, 0.6182629140896078, 0.574557588218922, 0.5526208820330742, 0.6403245417703134, 0.6373630235376423, 0.6499436754651463, 0.6984404641995042, 0.6131235832017731, 0.5823204075706162, 0.658821925454462, 0.6925473346758729, 0.6822493014817682, 0.6419291220790075, 0.6011916815267065, 0.5844905805923564, 0.6567977215206603, 0.6319654690793447, 0.6219661951590784, 0.584707427592834, 0.5311125037271667, 0.6638786749226903, 0.6315192359927913, 0.6583886149142644, 0.6084881040991438, 0.5602224870991536, 0.6642254228057479, 0.6188999981450091, 0.5876287626465182, 0.6921069571230215, 0.7009568147621671, 0.724995534756572]"
19,17,162.71666105658647,"[0.7780152726491898, 0.6972624513228203, 0.6781359107752565, 0.654240749525167, 0.6073712651373737, 0.6255352009424309, 0.6065068828361465, 0.6482748917976997, 0.6178894210796395, 0.6290920446816425, 0.5878412754075844, 0.5581859876709794, 0.6068567565343705, 0.6266317189642662, 0.5584511071432894, 0.5774584122519921, 0.6094479462020479, 0.5793439961730505, 0.692066561773718, 0.7414939114432924, 0.6794568249279203, 0.6080509575561361, 0.6495121418760317, 0.6186884470478307, 0.6299268215534493, 0.6507904673079337, 0.6955025626219686, 0.7147959683809675, 0.7248315748446988, 0.6652060662592943, 0.7335891287303447, 0.7151853375678346, 0.7181949669148053, 0.8068779646187936, 0.6987984613710944, 0.662948492830015, 0.7761511352578528, 0.727395083652762, 0.7437053157988837, 0.7110910290448141, 0.7879687382424316, 0.6696579403018238, 0.7829561966471966, 0.728303770705022, 0.7479060843202425, 0.72845514938022, 0.7574571141346331, 0.6519035415998815, 0.7246383716981459, 0.7037243734208071, 0.7470404020836162, 0.7140387594288111, 0.7271937830275892, 0.8178392470131199, 0.7505209422421478, 0.7171375664879992, 0.7360715867721052, 0.6651494521341101]"
20,18,162.2811006670658,"[0.8558889705676156, 0.7736818461578827, 0.8488036355161835, 0.7864826041069956, 0.7973521352815225, 0.7856961342321513, 0.767675229356221, 0.808728834509529, 0.7883424658418599, 0.7159756415810457, 0.7088471969643628, 0.7122364016432922, 0.631291925502764, 0.7352081499278444, 0.6741397923774868, 0.7176014500111814, 0.5970845101956994, 0.6206312708438242, 0.8067392027889548, 0.8552011310551667, 0.7100141457870158, 0.800589871025091, 0.7228822756864746, 0.775162832371404, 0.673365338900911, 0.629672092626218, 0.7526348546325098, 0.6689807000511565, 0.6942212772757268, 0.7821543892432572, 0.8267341750822235, 0.7461501775914232, 0.812188005202154, 0.8477971051457683, 0.7178457529955715, 0.6994768325426193, 0.62659845556195, 0.6296124861354403, 0.7391436359886989, 0.715643907906088, 0.7598997571344357, 0.6950389988349605, 0.6836685474212845, 0.724719875187727, 0.7981603883485506, 0.8264107319230326, 0.7556809709151869]"
21,19,157.14156880922107,"[0.6680998611275779, 0.7276542207591103, 0.775166392752915, 0.7089511290211563, 0.6670080653507897, 0.6042416555233509, 0.6801090883493954, 0.6290709916360051, 0.652592460248079, 0.6938649657971532, 0.7038884809472937, 0.7129364529762029, 0.6650768876260588, 0.6303576439827605, 0.6636587641374907, 0.7564091941095301, 0.771140440049612, 0.7154491521256949, 0.6839956087451285, 0.6224311046567734, 0.713216716686676, 0.6704819448311214, 0.6370539276673443, 0.6461636139738727, 0.6055686400395182, 0.7072134537743191, 0.7243538259424307, 0.6560683601379451, 0.6704888534933594, 0.7109890084194715, 0.6778578438580454, 0.7261788833876905, 0.7970687354969349, 0.8477983394555947, 0.7433917712071868, 0.6831931625214422, 0.8521452415390912, 0.7773514445177955, 0.7823741674718255, 0.8555866465903819, 0.8368594204365932, 0.8500454596619408, 0.8175939625068673, 0.7945851831627019, 0.7982913390034218, 0.7407963797941794, 0.8323335779733653, 0.7622038157539485, 0.7665964394627712, 0.7041052001375592, 0.833547791836987, 0.7989001522704475]"
