1,clientid,distance,error
3,1,163.9012244063334,"[0.7439869620268129, 0.7238840068263622, 0.6617895324964559, 0.6732363333058957, 0.6559969046782633, 0.6685577827393663, 0.6607093392004673, 0.5655583533721424, 0.6559077333863739, 0.6710737278055469, 0.5752082205753712, 0.6031791983944088, 0.775331168597202, 0.7282398678268052, 0.6443342759354251, 0.6754234031894292, 0.6138800742158276, 0.7607157805730282, 0.6247842913442043, 0.6386738405026672, 0.6480482124007485, 0.7473849157120437, 0.6864648785030348, 0.6685676622445398, 0.7060347871638778, 0.7128234223944472, 0.7331807519574256, 0.7924965411673636, 0.8351544033755797, 0.6736514163332887, 0.7225744066520376, 0.7230761318509462, 0.7185126634031231, 0.7246208158188286, 0.7638638419355428, 0.6912765992669847, 0.7983731583425551, 0.7636855239428836, 0.757884130419404, 0.697733701301567, 0.6201816808893286, 0.8112596813576871, 0.8138806192257982, 0.8040677798869217, 0.7605424389466524, 0.813229948825547, 0.8044685292553806, 0.7379375787657206, 0.6897570255003773, 0.8172007463074772, 0.6354564616418025]"
4,2,161.91691109307618,"[0.7534964040910103, 0.5909242591579906, 0.5324696058670351, 0.5873271412403025, 0.5900549846954746, 0.5496252441547532, 0.5691830227262384, 0.6153039974002105, 0.6290836429736595, 0.6697387550878307, 0.6333901619334344, 0.6369734344882003, 0.56706247496463, 0.5786058503562634, 0.646395058820949, 0.6649713375713346, 0.6744351627516598, 0.5963541698581887, 0.623574611402614, 0.6183211695308619, 0.6363035594885313, 0.6165564795152195, 0.7278406889917136, 0.6515701042557909, 0.795635462102843, 0.6106851785970364, 0.6690538663596871, 0.648276046450649, 0.6254563942923033, 0.7203579392570442, 0.6694533673279799, 0.6128390589820025, 0.7373132159950078, 0.6470557447801246, 0.6541341469095716, 0.5671349597851695, 0.6572874438779455, 0.6476420718955975, 0.7213472495783876, 0.6045632089564827, 0.5856045622362352, 0.6903487258249431, 0.6619604927918091, 0.6112056315566103, 0.7339952058907893]"
5,3,162.1411096579629,"[0.6135899584463851, 0.6392268746090833, 0.6069383624550686, 0.5095943525457942, 0.5226192063281889, 0.5438171551851596, 0.5561370944612412, 0.5780326092115494, 0.517236081551858, 0.516270900389696, 0.5182729132781537, 0.5651900409436155, 0.489696261289989, 0.469616055230846, 0.6006888460747157, 0.5424631747999737, 0.5400771331916437, 0.5689398412525097, 0.5887413429509133, 0.5429894947431632, 0.567870043426565, 0.5019902712797673, 0.6055424390899579, 0.6709746203385802, 0.5157477722854524, 0.5305638092676255, 0.5653756545636982, 0.6344465549939158, 0.563727839452603, 0.6128481374818406, 0.5788695564286124, 0.6219330842353303, 0.5417975489499798, 0.6239977691009413, 0.5922070648770283, 0.640242350240394, 0.5878726578199769, 0.598742473235188, 0.6308392896989257, 0.6756348307619398, 0.6456697700930532, 0.6722020989269113, 0.6317063429212151, 0.6431231503598555, 0.6389930329475754, 0.6999590056606807]"
6,4,161.16427629678088,"[0.7412520841663255, 0.7358605244921312, 0.700093263385539, 0.7083341047931391, 0.7156043175065541, 0.7415003943563907, 0.6684504098979707, 0.6077200949746916, 0.6391675219045045, 0.6648771927988164, 0.653182251093431, 0.6285672977787953, 0.689905889350136, 0.7298372205684918, 0.679545942908492, 0.6506908358961443, 0.6599007326533297, 0.6597502345377151, 0.6517267565406195, 0.6170485408176486, 0.7113793324790645, 0.7434493264315429, 0.7068046127799256, 0.6073841613077763, 0.6213971562505167, 0.7733783273082547, 0.7019022110821964, 0.7006010418339415, 0.7083888946052451, 0.7540837975234058, 0.8033039772301427, 0.7488218733924441, 0.7184611688975969, 0.818141353990119, 0.7475351062126037, 0.7208715908586625, 0.6774013592008327, 0.8126595996946259, 0.7904644317265289, 0.7898982784723537, 0.7820504821131765, 0.7014637388475975, 0.7815509721910192, 0.822216946762024, 0.7156119604393286]"
7,5,160.84106337685063,"[0.6547908732915917, 0.618823087454463, 0.6172356869466602, 0.5874647915223614, 0.5646268471190705, 0.5450246107454101, 0.549944556413684, 0.5661700656032189, 0.5678749873077807, 0.608371035354988, 0.5959163073908228, 0.536100148234594, 0.5382257775545198, 0.5524711737618782, 0.60545091512613, 0.5348455835677062, 0.5599231597701632, 0.5959660340548726, 0.6306127958378056, 0.5269653155627505, 0.5934791276945423, 0.5811481495440725, 0.5792620221023874, 0.5566899163778968, 0.6285074004196697, 0.6218711729398638, 0.6155228985563735, 0.5886143512896767, 0.6403765993475584, 0.594834914434905, 0.5653215688922015, 0.562620798995437, 0.5326195317963721, 0.6244353171212909, 0.6053781414197875, 0.5923254647909197, 0.6761290273592264, 0.6016304484082502, 0.612818017056076, 0.6173061958733402, 0.6504600538733454, 0.6543397022342348, 0.6504389530523137, 0.6692843607557492, 0.6575398653089359, 0.7344207516990717, 0.5796619351845099, 0.7484102422488407, 0.6445641851620652, 0.7248659351202513, 0.6335574190811408, 0.6599755196247619, 0.6868289136540746]"
8,6,160.34662324972658,"[0.7442183102445618, 0.7288601485058459, 0.8640973573892174, 0.7750570698347986, 0.8076591695043353, 0.7740407504647274, 0.8159568804577251, 0.8557428121760127, 0.8060821020640562, 0.6861104202459996, 0.8279054511957206, 0.8213472617709539, 0.74007426859218, 0.6551310042101426, 0.6552065882000389, 0.6377595586534655, 0.6753099241928813, 0.6871997368381807, 0.720007228074518, 0.7004035723638949, 0.6802281505624831, 0.8331698376579036, 0.7607141510808234, 0.7408737969318095, 0.7235305570484909, 0.6779805841464163, 0.686117058150973, 0.7467748155490299, 0.7272194245883351, 0.7140718451817923, 0.6890319703609254, 0.654850206734648, 0.7691981472605904, 0.7593717831164796, 0.7851604118501723, 0.7413611390537689, 0.8016668113800907, 0.9243054806531139, 0.8201960837611506, 0.9195667377829787, 0.8762088190195405, 0.887952664903096, 0.8625362683469261, 0.9450414766967183, 0.9312573741646331, 0.8184662429668423, 0.7025939741219832, 0.9116460354840601, 0.8178178267103297, 0.8266390733711686, 0.8147898914476142, 0.8430702071447589]"
9,7,162.5881040264423,"[0.9791799726703039, 0.817637742057953, 0.7611188804989052, 0.7456388369834637, 0.6924595708790163, 0.7292747848088357, 0.7602325734753788, 0.7997967932968846, 0.7297868683211031, 0.6308150946285703, 0.8158537591906299, 0.7303590444060951, 0.7658043202638724, 0.674799316084137, 0.793015484063055, 0.7515272163188915, 0.6279062942281171, 0.7994135795206707, 0.7580722932100636, 0.6985004574203253, 0.6934060845706387, 0.8007658754291581, 0.6762363497808965, 0.7791994317050349, 0.7340177410528319, 0.7487078291078388, 0.7033608431880761, 0.7407096922557138, 0.7122099069813129, 0.5983319353246924, 0.7882701201443402, 0.7790012077616792, 0.7702663515490855, 0.7785936936479347, 0.7559189135026412, 0.6713832679172738, 0.8136895629220307, 0.8534033720121, 0.745122798544174, 0.7947193127635223, 0.7584934721254177, 0.7304527196903268, 0.7660128132384696, 0.8785765921221483, 0.821861428783699, 0.8838633177422145, 0.8609930535783721, 0.8577398110582185, 0.7997419449641654, 0.9366822669903184]"
10,8,162.40921454486116,"[0.7520174674745518, 0.687455215493814, 0.6149879280194102, 0.6206829201198072, 0.6667087718296769, 0.6990426515461058, 0.6953126304810802, 0.6569019726987496, 0.689055765724436, 0.6633189420554374, 0.6198523241385464, 0.6379728852439193, 0.6259152979266577, 0.5832637646385144, 0.5978474155690235, 0.6430931990857779, 0.6212729587681628, 0.6636972342612482, 0.6073044320603489, 0.6106838106692598, 0.6078737866645638, 0.7255755832941848, 0.6795884438499958, 0.7180586978619956, 0.6358625213845148, 0.7956838463415665, 0.6650913096323869, 0.691194294710776, 0.6725340718971445, 0.5943634824377537, 0.7482403950006058, 0.7458181145313932, 0.6948284649901274, 0.666489944717117, 0.6536277188729849, 0.7592450182873762, 0.6926696591908182, 0.7231859946017541, 0.6293538472013686, 0.6264061058442474, 0.6248976360048532, 0.7686667658961366, 0.6804907992447855, 0.6329551554397665, 0.6615212656346505, 0.6646747616900363]"
11,9,161.04115256323556,"[0.7612533614772745, 0.7701679111025701, 0.861985169024038, 0.8161763286526044, 0.7738213866523753, 0.7301461663038478, 0.6868201879777132, 0.7615386523108372, 0.7567143259746001, 0.7031282304676147, 0.5754779921859268, 0.5867942698981877, 0.7343098260491616, 0.7034087836104409, 0.6583025204659417, 0.6878132720169883, 0.637489783700453, 0.7560512090780164, 0.728979755487975, 0.7310047448594417, 0.5870752851352257, 0.549074684009396, 0.6921081763270539, 0.7278307537333747, 0.7453417079118043, 0.7997470339861016, 0.7038380168006191, 0.6464076792630624, 0.743727768115758, 0.7562276468139258, 0.7067327381579176, 0.6981039381388018, 0.648484592821163, 0.8474847351519874, 0.7965183319096769, 0.6186185006913912, 0.7123206531491468, 0.6815222603232255, 0.6983626004588959, 0.6497260572614266, 0.8459186523204933, 0.7030908582964912, 0.6707671682366837, 0.6969119879257624, 0.6405279802611303, 0.6914212633679643, 0.7565785985927678, 0.6563886716176287, 0.712971046148693, 0.7821448876904269, 0.7783305331590259, 0.6871120979021281, 0.6895569158082289, 0.6611735628725774]"
12,10,158.82725576233173,"[0.605055490234242, 0.5888928905491451, 0.5300509688097015, 0.5274124646144788, 0.5662189634008841, 0.5895455216545156, 0.5629493765865794, 0.48095684886258977, 0.5361106992388278, 0.46269506593176446, 0.4574513006123326, 0.47072989939271137, 0.5540204326911219, 0.45830083825241563, 0.45787427259016444, 0.5534342646136804, 0.4899365602259679, 0.617670667108125, 0.4929141326286308, 0.5260047280944177, 0.46950290246018533, 0.4653444637020402, 0.43275877323839523, 0.5579760527606108, 0.5344246357539231, 0.4774200852732627, 0.49293378797406473, 0.5121166479319836, 0.4962146806002954, 0.6196522228531087, 0.5523190518405411, 0.5674032362836317, 0.4496532425513932, 0.5235361285105516, 0.5544579266683639, 0.5756930012269046, 0.5238694738309106, 0.6461955034391164, 0.5565526487727629, 0.4454468313829395, 0.48886867657159294, 0.6628967712952268, 0.6407141949984007, 0.6519504205997432, 0.6288904300208429, 0.5927542771474053, 0.6004798845794901, 0.5261676747793096, 0.6228119179794016]"
