1,group,error
80,78.0,0.019510518537969992
81,79.0,0.25801718664430545
82,80.0,0.011378689981959475
83,81.0,0.0474899594256911
84,82.0,0.021417315610138214
85,83.0,0.0401134828784344
86,84.0,0.0642934886582375
87,85.0,0.02502047830521073
88,86.0,0.043128832820892665
89,87.0,0.11095149591554665
90,88.0,0.035807654984967165
91,89.0,0.022012153382374083
92,90.0,0.17909168244235354
93,91.0,0.1301547475597559
94,92.0,0.1493385052338823
95,93.0,0.07335249189131847
96,94.0,0.04914048589750555
97,95.0,0.3313795750577158
98,96.0,0.04668391273608781
99,97.0,0.30168726955581215
100,98.0,0.04205560107887132
101,99.0,0.25409727587923375
102,100.0,0.08109140208560088
1,group,error
2,0,0
3,1.0,0.49159321507332393
4,2.0,0.6185141868045321
5,3.0,0.52218497178582
6,4.0,0.42391789865069934
7,5.0,0.6403180805658493
8,6.0,0.5647469328182467
9,7.0,0.5017333333046594
10,8.0,0.009305613578914252
11,9.0,0.00926042459317938
12,10.0,0.1844924703325713
13,11.0,0.05725662534442858
14,12.0,0.03236742952335522
15,13.0,0.017285900347048223
16,14.0,0.017041352382777215
17,15.0,0.07181389606660406
18,16.0,0.07053935696909994
19,17.0,0.06204238460390424
20,18.0,0.09675815919823416
21,19.0,0.058824328139721514
22,20.0,0.2221992615441434
23,21.0,0.059291606836282644
24,22.0,0.010175318020606207
25,23.0,0.06618107708777227
26,24.0,0.0849493611675958
27,25.0,0.25670873951496087
28,26.0,0.014503195617338996
29,27.0,0.06655065029603163
30,28.0,0.08391174539605004
31,29.0,0.06082834194642928
32,30.0,0.23913708761510175
33,31.0,0.06730035771093916
34,32.0,0.11448183077099912
35,33.0,0.17013028332463537
36,34.0,0.05972383536063052
37,35.0,0.14994579119131732
38,36.0,0.052297613569940636
39,37.0,0.07284025290470117
40,38.0,0.05776517264559111
41,39.0,0.2955612850376647
42,40.0,0.22263226698552652
43,41.0,0.2890412419044503
44,42.0,0.14642756359286646
45,43.0,0.019676400246547925
46,44.0,0.27799584396332583
47,45.0,0.16409819647169074
48,46.0,0.2724576771223791
49,47.0,0.013554867063003798
50,48.0,0.05584970774561937
51,49.0,0.06564509437992527
52,50.0,0.0703419439462442
53,51.0,0.06997483135971617
54,52.0,0.07394090136751531
55,53.0,0.26019740207046804
56,54.0,0.06906393822168502
57,55.0,0.0726566259460729
58,56.0,0.14796956958762453
59,57.0,0.013188019722306168
60,58.0,0.01819545960406271
61,59.0,0.06792588985303157
62,60.0,0.20834762051284547
63,61.0,0.05419072440169237
64,62.0,0.06519900002882129
65,63.0,0.017768429754539385
66,64.0,0.14597196819700256
67,65.0,0.0128872145698424
68,66.0,0.070441834379847
69,67.0,0.05583316347429993
70,68.0,0.012887639695794165
71,69.0,0.011294043944224261
72,70.0,0.048462530939380494
73,71.0,0.06384157811793653
74,72.0,0.2513679793234802
75,73.0,0.054619768582441
76,74.0,0.06299691215346163
77,75.0,0.1976274906155103
78,76.0,0.13968457315073537
79,77.0,0.011522437062575615
80,78.0,0.06194603410891205
81,79.0,0.19452286228764862
82,80.0,0.01679359347430764
83,81.0,0.0903068013110047
84,82.0,0.1546284737393225
85,83.0,0.01158243857755827
86,84.0,0.25370947893878926
87,85.0,0.04576317345873457
88,86.0,0.013242393292217408
89,87.0,0.13202746138368646
90,88.0,0.045333432869921406
91,89.0,0.06339510592602875
92,90.0,0.013287190336519305
93,91.0,0.25574327348910286
94,92.0,0.05004754916492595
95,93.0,0.18317807348631537
96,94.0,0.011659585164950817
97,95.0,0.044325547184185306
98,96.0,0.06022488224657259
99,97.0,0.05585645307310867
100,98.0,0.013268259019270368
101,99.0,0.05774964927649405
102,100.0,0.06647818835667753
