1,case,method,group,Loss,Accurancy,AUC,Std Test Accurancy,Std Test AUC(0.5)
8,Cifar100,FedALA,6,4.247733770075754,0.09841248929583031,0.7427055575384361,0.10439534888266752,0.08690071773402917
9,Cifar100,FedALA,7,4.186372614568834,0.10546077333508992,0.7594421334251539,0.10709435915666243,0.08107060895708815
10,Cifar100,FedALA,8,4.134659972903452,0.11547328897964561,0.7719275676859593,0.11036319339462017,0.07780642756158794
11,Cifar100,FedALA,9,4.084297333035384,0.12397075291482774,0.7828060683979435,0.11012481236654807,0.07442442131507122
12,Cifar100,FedALA,10,4.036622586024023,0.12884526711020355,0.7929543477053835,0.11012173662087012,0.07057648296125378
13,Cifar100,FedALA,11,3.993785795331726,0.13859429550095514,0.7999975780966921,0.11410459211881847,0.06835254304756644
14,Cifar100,FedALA,12,3.957198952678846,0.14570845135366578,0.8047972921792197,0.11568285459884235,0.0673900657638161
15,Cifar100,FedALA,13,3.923440963308388,0.1468941439957842,0.8093185285778494,0.11680505864070169,0.06649770594447785
16,Cifar100,FedALA,14,3.8924963009810667,0.1528226072063764,0.81284601963503,0.11851277895414959,0.06584603595947335
17,Cifar100,FedALA,15,3.8611569898269775,0.1620446610895198,0.8171383065581961,0.12036982663619743,0.06479176403255416
18,Cifar100,FedALA,16,3.8294147776666088,0.1683024833673671,0.8218199492680015,0.12429998409025209,0.06238792441735424
19,Cifar100,FedALA,17,3.799656249360352,0.1729135103089388,0.8265058811849705,0.12572962871187254,0.0605176836303723
20,Cifar100,FedALA,18,3.7761373381661847,0.17462617745866543,0.8290593258638825,0.12357648379897396,0.05972221378888149
21,Cifar100,FedALA,19,3.753422682746743,0.17409920295105724,0.831768970907441,0.12430987983919223,0.05867537660675937
22,Cifar100,FedALA,20,3.7336343221272434,0.17554838284697977,0.8336294260488883,0.12392779761694617,0.05797967659579548
23,Cifar100,FedALA,21,3.7136146969787007,0.18015940978855147,0.8358442461093564,0.12415624635318999,0.05768688502638074
24,Cifar100,FedALA,22,3.695482118680726,0.1823990514458863,0.8374328971681468,0.12593372157909594,0.05737577794280344
25,Cifar100,FedALA,23,3.6748399305404202,0.18608787299914367,0.8400777590795223,0.12524308239425494,0.05600765659682863
26,Cifar100,FedALA,24,3.659452012679655,0.18878861735063565,0.8412296304544817,0.12583142460988367,0.05559644734672418
27,Cifar100,FedALA,25,3.643033847284451,0.19148936170212766,0.8424299238725148,0.12953484015271524,0.05567450867853578
28,Cifar100,FedALA,26,3.6285437696393914,0.195112311441934,0.8436800284260824,0.13061869333107892,0.05545546786245766
29,Cifar100,FedALA,27,3.6128694760086595,0.19603451683024833,0.845601440278422,0.13039096642514966,0.05453875672272634
30,Cifar100,FedALA,28,3.600866998002378,0.1970225940320137,0.8461974275961806,0.13076673270586614,0.054995627800569775
31,Cifar100,FedALA,29,3.5840724733799343,0.20617877610170607,0.8478640930188807,0.13172834507679332,0.054440755079648635
32,Cifar100,FedALA,30,3.571870311776952,0.20716685330347145,0.848911023049624,0.13013152875767084,0.05413593785616901
33,Cifar100,FedALA,31,3.558628020188346,0.20762795599762862,0.849984703748843,0.13001137370607155,0.05412712345072131
34,Cifar100,FedALA,32,3.5478751966908066,0.20769382781107965,0.8509377770213011,0.13040599500661612,0.05390521879592018
35,Cifar100,FedALA,33,3.540104970288638,0.20881364863974705,0.8512735175643781,0.1318184473477851,0.05394854717272704
36,Cifar100,FedALA,34,3.5271099913456663,0.21144852117778803,0.852419210734974,0.1306588468974602,0.053790773533412696
37,Cifar100,FedALA,35,3.5155707859493255,0.21237072656610237,0.8534742543805541,0.1316478366100877,0.0538424650785237
38,Cifar100,FedALA,36,3.5082780842923413,0.21375403464857387,0.8534888407183501,0.13265165028974762,0.053580742806983606
39,Cifar100,FedALA,37,3.4974544068211793,0.2152032145444964,0.8542386919776429,0.13377168740283826,0.053383161422325534
40,Cifar100,FedALA,38,3.489077492889935,0.21553257361175154,0.8551886594785139,0.13277957959253428,0.05304728308247576
41,Cifar100,FedALA,39,3.4791830920467857,0.21810157433634147,0.8562875003714291,0.13180635539752192,0.052584925343654054
42,Cifar100,FedALA,40,3.4694582322214726,0.21968249785916608,0.8565955452667954,0.13143703145796273,0.053122213699275715
43,Cifar100,FedALA,41,3.463100931289873,0.21823331796324352,0.8570105037165127,0.13239029869292607,0.05325277747535533
44,Cifar100,FedALA,42,3.456176654362936,0.22152690863579474,0.8579152344981403,0.13256733357512795,0.05275668023741027
45,Cifar100,FedALA,43,3.4424873297665126,0.22422765298728675,0.8592972689306905,0.13405286163955166,0.05221330828015277
46,Cifar100,FedALA,44,3.438616088055167,0.22238324221065806,0.8593413119843895,0.13403458406819654,0.05237662188070301
47,Cifar100,FedALA,45,3.4323010271468015,0.222251498583756,0.8594056451626495,0.13357902294023738,0.05269673743958659
48,Cifar100,FedALA,46,3.423209220287253,0.2240959093603847,0.860117899261527,0.13483329309882444,0.05222212174403203
49,Cifar100,FedALA,47,3.4156296283058047,0.2225149858375601,0.8606154337944784,0.13386788668378974,0.05230043879172577
50,Cifar100,FedALA,48,3.4041693124934667,0.22580857651011133,0.8619929923970082,0.1326190819095971,0.05168648437435821
51,Cifar100,FedALA,49,3.4000005252174605,0.22501811474869904,0.8619192064428425,0.13239844015097682,0.051953149897546354
52,Cifar100,FedALA,50,3.3902629147790844,0.23048547526513405,0.8626487950609987,0.1350981956026063,0.051758897260604106
53,Cifar100,FedALA,51,3.3805123134269848,0.2308807061458402,0.8635079651770349,0.1340831268600595,0.05141496715673515
54,Cifar100,FedALA,52,3.3769630388354295,0.23055134707858507,0.8635965864080146,0.13417515175099426,0.0513548064818417
55,Cifar100,FedALA,53,3.366588000549875,0.2352282458336078,0.8644618394896211,0.133497950944862,0.05073782080867453
56,Cifar100,FedALA,54,3.360389646120074,0.23417429681839141,0.8647305790014161,0.13289931548306724,0.05088514361302177
57,Cifar100,FedALA,55,3.3510353527844856,0.235755220341216,0.8655960552633613,0.13460981863635899,0.050645577514559115
