1,case,method,group,Loss,Accurancy,AUC,Std Test Accurancy,Std Test AUC,join_ratio
74,Cifar100,PerAvg,72,2.3872298713869182,0.16492042440318302,0.842442355688702,0.06526191911031086,0.03201043231343612,0.5
75,Cifar100,PerAvg,73,2.384267389812987,0.16392572944297082,0.8418849251308317,0.06707957588762044,0.03237246028309803,0.5
76,Cifar100,PerAvg,74,2.3789947098575084,0.16545092838196288,0.8428121023018287,0.06490963858930807,0.031643429954661316,0.5
77,Cifar100,PerAvg,75,2.376827852678429,0.16757294429708222,0.8427543298335565,0.06626916075863003,0.03192459199679591,0.5
78,Cifar100,PerAvg,76,2.373468113042446,0.16677718832891247,0.8419522471140686,0.06803458721184143,0.03234157327864088,0.5
79,Cifar100,PerAvg,77,2.370143992721973,0.1659814323607427,0.8416521095483768,0.06787079637365039,0.03279798463067894,0.5
80,Cifar100,PerAvg,78,2.3657707604242257,0.16631299734748012,0.8422188561490153,0.06580100882477287,0.032494698146585135,0.5
81,Cifar100,PerAvg,79,2.3635215539644086,0.1666445623342175,0.8419904871120466,0.06662726594330613,0.0327083462420945,0.5
82,Cifar100,PerAvg,80,2.3574775645790544,0.16724137931034483,0.8425215885842909,0.06651450473833055,0.03243422565248336,0.5
83,Cifar100,PerAvg,81,2.3536800229520125,0.1696949602122016,0.842352678617249,0.06947707281201737,0.03268288062808804,0.5
84,Cifar100,PerAvg,82,2.3510033249708977,0.16856763925729443,0.8424230502370903,0.06763925344476632,0.03271936545874314,0.5
85,Cifar100,PerAvg,83,2.3478934685075026,0.16724137931034483,0.8422439987906268,0.0655311791467526,0.03248128325580115,0.5
86,Cifar100,PerAvg,84,2.3436631324484356,0.1669761273209549,0.8424711590228011,0.06863474845193104,0.03279954958340606,0.5
87,Cifar100,PerAvg,85,2.3393405866468453,0.16889920424403182,0.8433403381717014,0.06501282583489379,0.032014954561439046,0.5
88,Cifar100,PerAvg,86,2.336268727010793,0.17082228116710876,0.8433151316639663,0.06893285124965347,0.03222995809990756,0.5
89,Cifar100,PerAvg,87,2.334176764198459,0.1706233421750663,0.8428405144620034,0.06613978015126935,0.032882066760386255,0.5
90,Cifar100,PerAvg,88,2.3328366806694745,0.16949602122015914,0.8431472939832348,0.06805161554138127,0.033296887115322575,0.5
91,Cifar100,PerAvg,89,2.329584917055349,0.16996021220159152,0.8424342440371584,0.06872184634656081,0.033591908399452565,0.5
92,Cifar100,PerAvg,90,2.323647012236692,0.17015915119363395,0.8432783327703233,0.06746064270832511,0.03272672208313228,0.5
93,Cifar100,PerAvg,91,2.320845209059151,0.16850132625994696,0.842692914331414,0.06716573250580904,0.03237989319708086,0.5
94,Cifar100,PerAvg,92,2.3178352576746777,0.17175066312997347,0.8432499836203737,0.06542667802956656,0.03237710402498217,0.5
95,Cifar100,PerAvg,93,2.3162036628832006,0.16896551724137931,0.8426783834693075,0.06453918132171932,0.03252660817758429,0.5
96,Cifar100,PerAvg,94,2.3113362611912147,0.1692970822281167,0.8440274894911013,0.0661127052771517,0.0317581283048394,0.5
97,Cifar100,PerAvg,95,2.3088495511954683,0.17095490716180373,0.8438197447827098,0.06652842060551836,0.0320492701840194,0.5
98,Cifar100,PerAvg,96,2.3056097938030957,0.17314323607427057,0.8441726962527429,0.06369877249768618,0.03167936342874918,0.5
99,Cifar100,PerAvg,97,2.3026333799180185,0.16989389920424403,0.8439850966240016,0.06786007183090934,0.03152826527621032,0.5
100,Cifar100,PerAvg,98,2.300583665494877,0.17248010610079575,0.8434733580663782,0.06780285830595187,0.031724270472955625,0.5
101,Cifar100,PerAvg,99,2.29770343122957,0.17287798408488064,0.8435704355300403,0.06879881269636567,0.032570968755660845,0.5
102,Cifar100,PerAvg,100,2.2947773481565044,0.1724137931034483,0.843764918872244,0.06826417602759609,0.03255527321275083,0.5
