1,case,method,group,Loss,Accurancy,AUC,Std Test Accurancy,Std Test AUC,select_mode
49,mnist,FedAvg,47,0.28164147510844756,0.9137110481586402,0.9839858511857829,0.035408889145490376,0.00712423039071053,pyramidFy
50,mnist,FedAvg,48,0.2799421842895641,0.913314447592068,0.9841525827985549,0.03501064818364852,0.00711317793508211,pyramidFy
51,mnist,FedAvg,49,0.27864700801042025,0.9135410764872521,0.9843015108367564,0.034732290781065545,0.007090834370781251,pyramidFy
52,mnist,FedAvg,50,0.2765050700694332,0.9146175637393767,0.9842949237911481,0.035624597747721275,0.007053209538621112,pyramidFy
53,mnist,FedAvg,51,0.27509606729580427,0.9151274787535411,0.9845012184735343,0.03562851317317918,0.007025655703887129,pyramidFy
54,mnist,FedAvg,52,0.2737350398233032,0.9150708215297451,0.9846163927877751,0.0351556367673113,0.006989855331824269,pyramidFy
55,mnist,FedAvg,53,0.27231460664109347,0.9156940509915014,0.9847407805490157,0.03517951283827313,0.006949162340594139,pyramidFy
56,mnist,FedAvg,54,0.27093451763161464,0.9164872521246459,0.9847649440000744,0.035291632709710474,0.00693458450444242,pyramidFy
57,mnist,FedAvg,55,0.26932964801178155,0.9168271954674221,0.9848857522373126,0.035007675890894686,0.006899209484146703,pyramidFy
58,mnist,FedAvg,56,0.2680989103865227,0.9171671388101983,0.9849915606564686,0.0340970884847143,0.0068142806351403394,pyramidFy
59,mnist,FedAvg,57,0.2666938620393527,0.9170538243626062,0.9850382404751107,0.034961560271115195,0.006822000494045814,pyramidFy
60,mnist,FedAvg,58,0.2653538331309829,0.9172804532577904,0.9852186428163141,0.03492811489938057,0.006818227378244725,pyramidFy
61,mnist,FedAvg,59,0.2641205520714803,0.9174504249291785,0.985263814472483,0.03414559118095704,0.0068110129637316014,pyramidFy
62,mnist,FedAvg,60,0.2623263458385513,0.918300283286119,0.9854368385410408,0.03471667438586836,0.006748910263989618,pyramidFy
63,mnist,FedAvg,61,0.2609801227632185,0.918356940509915,0.9855049562107369,0.03424030855713317,0.006753113120962344,pyramidFy
64,mnist,FedAvg,62,0.26015356581185584,0.9186968838526912,0.9855406256274054,0.03343172594831082,0.006744782917228978,pyramidFy
65,mnist,FedAvg,63,0.2584408451729853,0.9196600566572238,0.9856952814193282,0.03386707654458321,0.006697197535708694,pyramidFy
66,mnist,FedAvg,64,0.256894755124119,0.9193201133144476,0.9857561995671267,0.033327929819888115,0.006676220875955918,pyramidFy
67,mnist,FedAvg,65,0.25591856823520726,0.9201699716713881,0.9858765748303292,0.03359825835364244,0.00663255771495342,pyramidFy
68,mnist,FedAvg,66,0.2542191300494367,0.9199433427762039,0.9859157313359281,0.03377769919518067,0.006623889127217161,pyramidFy
69,mnist,FedAvg,67,0.25293814679275134,0.9202832861189801,0.9860664287381473,0.033472391426959,0.006596274174274189,pyramidFy
70,mnist,FedAvg,68,0.2514021138657857,0.9205099150141643,0.9861234174828524,0.03350679055589671,0.006554327292859676,pyramidFy
71,mnist,FedAvg,69,0.25010458126053986,0.9204532577903682,0.9862458786008867,0.0332066576323607,0.00652688312695351,pyramidFy
72,mnist,FedAvg,70,0.24932188185622337,0.9210764872521247,0.986280807248688,0.03311497165789058,0.006529093024682739,pyramidFy
73,mnist,FedAvg,71,0.2481222743904585,0.921529745042493,0.9863235768812815,0.033464526816567544,0.006518330824739482,pyramidFy
74,mnist,FedAvg,72,0.246403828693251,0.9217563739376771,0.9864170522502821,0.033332084154881335,0.006475431241748,pyramidFy
75,mnist,FedAvg,73,0.2451227945634829,0.9218696883852692,0.9864974570209931,0.033183221382092544,0.006470891048898717,pyramidFy
76,mnist,FedAvg,74,0.24391774668427083,0.9222662889518414,0.9865436887281491,0.03280553770114937,0.006459174474773848,pyramidFy
77,mnist,FedAvg,75,0.24287922294686543,0.9230028328611898,0.986667127231659,0.03288799841138648,0.006393848391449849,pyramidFy
78,mnist,FedAvg,76,0.24186854290998464,0.923342776203966,0.986774175633486,0.03289092833761031,0.006417680026649002,pyramidFy
79,mnist,FedAvg,77,0.24069639107870772,0.9230594900849859,0.9868071527310698,0.03317206310684404,0.006395007673725733,pyramidFy
80,mnist,FedAvg,78,0.23927462143311964,0.9234560906515581,0.986849364317784,0.032877455010067454,0.006383103905647345,pyramidFy
81,mnist,FedAvg,79,0.2384542861758626,0.92328611898017,0.9869135026630051,0.032543599976991806,0.006373988048456896,pyramidFy
82,mnist,FedAvg,80,0.2372572062601762,0.9239660056657224,0.9870248520332969,0.032783382019713286,0.006351322760998312,pyramidFy
83,mnist,FedAvg,81,0.23584028600178328,0.9240226628895184,0.9870624257627474,0.032785844039348505,0.006328507081881539,pyramidFy
84,mnist,FedAvg,82,0.235203552815898,0.9244192634560906,0.9871538493093397,0.03253636016762134,0.006285588798321614,pyramidFy
85,mnist,FedAvg,83,0.23380362753602654,0.9248158640226629,0.9872254455866988,0.032607763245288475,0.0062998606341948425,pyramidFy
86,mnist,FedAvg,84,0.23259337637035563,0.9247592067988668,0.9872614725048651,0.0323830867927965,0.006295787996902341,pyramidFy
87,mnist,FedAvg,85,0.231395414679052,0.9252691218130311,0.9872953131886497,0.03232775146335542,0.006289871157095284,pyramidFy
88,mnist,FedAvg,86,0.2310594633077455,0.9252691218130311,0.9873901882887388,0.032733882820416546,0.006276038115008574,pyramidFy
89,mnist,FedAvg,87,0.22915264056004547,0.9254957507082153,0.9875141156997022,0.03247044991284194,0.006200679534937394,pyramidFy
90,mnist,FedAvg,88,0.22813841642985083,0.9259490084985835,0.9875468033606387,0.032506185542781146,0.00620045727933914,pyramidFy
91,mnist,FedAvg,89,0.22716724767846289,0.9262889518413597,0.9875970674270262,0.032202896394591396,0.006152646449873204,pyramidFy
92,mnist,FedAvg,90,0.22580885846288232,0.9272521246458924,0.9876333028340537,0.03213461037030368,0.006115443550355307,pyramidFy
93,mnist,FedAvg,91,0.2245361570481055,0.9279886685552408,0.9877358969604677,0.03162646813011789,0.006102483820940699,pyramidFy
94,mnist,FedAvg,92,0.2236601210669775,0.9279886685552408,0.9877256034939299,0.032337249436941634,0.006162735087289438,pyramidFy
95,mnist,FedAvg,93,0.22243100264145227,0.9277053824362607,0.9878501177226666,0.031836118325932555,0.006073729646644862,pyramidFy
96,mnist,FedAvg,94,0.2215191930982633,0.9284419263456091,0.9878552253776932,0.031855962718980085,0.006090645539128946,pyramidFy
97,mnist,FedAvg,95,0.2208399701708001,0.9290084985835694,0.9878945582721698,0.03141968346421251,0.006084959645708826,pyramidFy
98,mnist,FedAvg,96,0.21971877094055411,0.928271954674221,0.9879814345714877,0.03143381258911745,0.006066739962295262,pyramidFy
99,mnist,FedAvg,97,0.21867987235271708,0.9295184135977337,0.9879726840513523,0.03141999555771933,0.006083029606056497,pyramidFy
100,mnist,FedAvg,98,0.21773946937916827,0.9296883852691218,0.9880451533623982,0.031268353672319886,0.0060242837982479895,pyramidFy
101,mnist,FedAvg,99,0.21708269425666676,0.9292917847025496,0.988130986143832,0.031813125795465524,0.0060272652728773825,pyramidFy
102,mnist,FedAvg,100,0.21594928637393543,0.9300849858356941,0.9881441535788648,0.031149892733197054,0.005990365631582129,pyramidFy
