1,case,method,group,Loss,Accurancy,AUC,Std Test Accurancy,Std Test AUC,Kl,JS,EMD,round_time,highResourceClientNum,select_mode
33,mnist,FedAvg,31,0.73966319383916,0.7529230593737524,0.9527430145327042,0.2378691408255919,0.048391162995568095,0.5317755716097625,0.3652885167557533,0.07339459354386411,31.17,2,random
34,mnist,FedAvg,32,1.1915853590229333,0.5543261278731535,0.9307986675961746,0.3221645259129665,0.05003305344722211,0.5033584606565731,0.3578982602136704,0.06828683196895849,31.59,5,random
35,mnist,FedAvg,33,0.731987573937768,0.7841784064335824,0.9488405700234346,0.20783704906135675,0.06709399082689231,0.38658552342701086,0.3220238080073337,0.07296417014363255,29.8,2,random
36,mnist,FedAvg,34,1.2434598125211396,0.5834141333485428,0.9280537408352765,0.29032405918637616,0.05742367294483865,0.9420687988159477,0.4798642069143956,0.09878187953327025,34.36,2,random
37,mnist,FedAvg,35,0.805164686128802,0.7545200479096561,0.9519433673169397,0.19044924438915076,0.04928604609525065,0.41220856506885284,0.33376040918873606,0.07117382287494436,31.28,2,random
38,mnist,FedAvg,36,0.9419011207925609,0.6839103405007699,0.9423167886987781,0.2269736926764567,0.04806681516447632,0.7783835414397456,0.45266527473972634,0.09287205396877721,28.94,3,random
39,mnist,FedAvg,37,0.4669089157470203,0.8469172417726573,0.9712364783823931,0.13352985167369363,0.02965850960690043,0.3494472834934603,0.32219338906439243,0.06360528735632184,28.94,1,random
40,mnist,FedAvg,38,0.5381932389802964,0.8256430730622255,0.9659485776534116,0.15017745115961287,0.03533893571443154,0.39628479281323664,0.33005977421474914,0.06931147104103626,29.8,2,random
41,mnist,FedAvg,39,0.8873836437698979,0.6651457252039013,0.9418522323088586,0.2507625806065609,0.04401204411413043,0.56750631084302,0.38257826588947164,0.08861991172007909,28.93,1,random
42,mnist,FedAvg,40,0.8889774161541891,0.7169337820110648,0.9435309972130062,0.2111730779122843,0.05150546917650021,0.5025522518631885,0.37493225312058615,0.07957334557473374,34.36,2,random
43,mnist,FedAvg,41,1.0532989311172294,0.6262476472936748,0.9303531593942765,0.23340405262878167,0.055613780952476634,0.38964200554621947,0.32869588728045196,0.07165209287326671,30.46,1,random
44,mnist,FedAvg,42,1.2884548186799982,0.5942508412707466,0.9215575639320779,0.271044233795689,0.06264851907973056,0.5113341117601496,0.37397502140946265,0.08180125172085143,28.94,1,random
