1,clientid,distance,error
3,1,174.37781668656552,"[0.005267338182610006, 0.0027716141879612294]"
4,2,181.07903904559686,[0.0051171590737067165]
5,3,175.4636486445999,"[0.01492205200248335, 0.010901564675628956, 0.008831696808223892]"
6,4,166.78258478912414,"[0.007417873127732903, 0.006803006937154764, 0.006298253871111959]"
7,5,176.74105245269047,"[0.0013649482579547183, 0.0008301345460948342]"
8,6,168.78738686567038,"[0.00037301827480198496, 0.0003353900585827195]"
9,7,173.92749948867672,[0.011570614827621095]
10,8,181.35124408069495,"[0.0313977795480578, 0.02318552702113434]"
11,9,177.27036557616654,"[0.001816834463728684, 0.0007214377734313716]"
12,10,178.19314489644913,[]
13,11,174.77462053637896,"[0.002583772130633078, 0.0024146134996850923]"
14,12,171.31149375252784,[0.005211024757855657]
15,13,180.2943843630986,"[0.006138227820130331, 0.004019428653051504]"
16,14,169.56222181664234,[0.007525280711706728]
17,15,184.55005558709823,"[0.02118515819311142, 0.01640963673591614, 0.0068902655690908435]"
18,16,174.8678682873961,"[0.0022395659927565126, 0.0018591514456753225]"
19,17,176.52644364632104,"[0.0016184690235908396, 0.0014531432864374183]"
